127.0.0.1 - - [06/Sep/2024:22:01:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:01:25 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:01:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:01:28 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 500 2979
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:02:47 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:02:50 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 500 2212
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:03:07 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:03:10 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:03:22 +0530] "POST /EasyLearn/StartQuizServlet HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:03:24 +0530] "POST /EasyLearn/LogoutServlet HTTP/1.1" 405 753
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:03:49 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [06/Sep/2024:22:05:36 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:50 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:50 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:50 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:58 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:58 +0530] "GET /EasyLearn/loginuser.jsp?error=Database%20error HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:07:58 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:18 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:18 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:21 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:21 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:21 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:52 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:52 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:57 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:57 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:59 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:08:59 +0530] "GET /EasyLearn/courseSelection.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:09:39 +0530] "GET /EasyLearn/courseSelection.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:09:40 +0530] "GET /EasyLearn/courseSelection.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:09:43 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:09:47 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
